,City,Country Code,Lat (appx.),Lng (appx.)
0,vaini,to,-83.57715318185002,-180.0
1,punta arenas,cl,-83.57715318185002,-122.584044324318
2,ushuaia,ar,-83.57715318185002,-65.16808864863602
3,hermanus,za,-83.57715318185002,-7.75213297295403
4,port alfred,za,-83.57715318185002,49.66382270272797
5,albany,au,-83.57715318185002,107.07977837840997
6,mataura,pf,-77.15430636370004,-151.110695311809
7,rikitea,pf,-77.15430636370004,-122.22139062361802
8,bredasdorp,za,-77.15430636370004,22.22513281733694
9,busselton,au,-77.15430636370004,80.00374219371895
10,hobart,au,-77.15430636370004,137.7823515701009
11,mar del plata,ar,-70.73145954555007,-24.2927954497101
12,cape town,za,-70.73145954555007,-4.829394880923871
13,port elizabeth,za,-70.73145954555007,34.09740625664861
14,east london,za,-70.73145954555007,53.56080682543484
15,saint-philippe,re,-70.73145954555007,73.0242073942211
16,new norfolk,au,-70.73145954555007,131.4144091005798
17,avarua,ck,-64.30861272740009,-165.18455193026486
18,kruisfontein,za,-64.30861272740009,27.416272976292134
19,taolanaro,mg,-64.30861272740009,57.04716911576244
20,bluff,nz,-64.30861272740009,160.75530560390854
21,cidreira,br,-57.88576590925012,-22.93530345702601
22,tsihombe,mg,-57.88576590925012,49.5560949474235
23,tuatapere,nz,-57.88576590925012,158.2931925540978
24,castro,cl,-51.46291909110014,-107.83561405618391
25,rio gallegos,ar,-51.46291909110014,-66.598822088289
26,rawson,ar,-51.46291909110014,-56.289624096315265
27,chuy,uy,-51.46291909110014,-35.67122811236783
28,jamestown,sh,-51.46291909110014,-15.052832128420363
29,mahebourg,mu,-51.46291909110014,77.72994979934316
30,mount gambier,au,-51.46291909110014,129.27593975921184
31,coihaique,cl,-45.04007227295016,-70.92436162869184
32,arraial do cabo,br,-45.04007227295016,-25.476178973980097
33,saldanha,za,-45.04007227295016,-7.296905912095411
34,port lincoln,au,-45.04007227295016,129.0476420520398
35,portland,au,-45.04007227295016,138.1372785829821
36,te anau,nz,-45.04007227295016,165.40618817580918
37,ancud,cl,-38.617225454800185,-106.0166526548418
38,lebu,cl,-38.617225454800185,-97.79628072760201
39,carahue,cl,-38.617225454800185,-73.13516494588261
40,santa rosa,ar,-38.617225454800185,-64.9147930186428
41,souillac,mu,-38.617225454800185,66.611157817194
42,bambous virieux,mu,-38.617225454800185,83.05190167167359
43,esperance,au,-38.617225454800185,124.15376130787257
44,lakes entrance,au,-38.617225454800185,148.81487708959196
45,ulladulla,au,-38.617225454800185,157.0352490168318
46,hokitika,nz,-38.617225454800185,165.2556209440716
47,talcahuano,cl,-32.19437863665021,-81.33239794305786
48,valparaiso,cl,-32.19437863665021,-73.74258240021615
49,san luis,ar,-32.19437863665021,-66.15276685737444
50,concepcion del uruguay,ar,-32.19437863665021,-58.56295131453274
51,rio grande,br,-32.19437863665021,-50.973135771691034
52,laguna,br,-32.19437863665021,-43.38332022884933
53,luderitz,na,-32.19437863665021,2.1555730282008767
54,oranjemund,na,-32.19437863665021,9.745388571042582
55,graaff-reinet,za,-32.19437863665021,24.925019656725993
56,port shepstone,za,-32.19437863665021,32.5148351995677
57,beloha,mg,-32.19437863665021,40.104650742409405
58,saint-joseph,re,-32.19437863665021,55.284281828092816
59,carnarvon,au,-32.19437863665021,85.64354399945961
60,geraldton,au,-32.19437863665021,93.23335954230134
61,kwinana,au,-32.19437863665021,116.00280617082643
62,flinders,au,-32.19437863665021,131.18243725650984
63,port augusta,au,-32.19437863665021,138.77225279935158
64,forbes,au,-32.19437863665021,146.36206834219325
65,port macquarie,au,-32.19437863665021,153.951883885035
66,sawtell,au,-32.19437863665021,161.54169942787667
67,ahipara,nz,-32.19437863665021,169.1315149707184
68,puerto ayora,ec,-25.771531818500236,-101.54516814444507
69,pisco,pe,-25.771531818500236,-94.41291070303099
70,marcona,pe,-25.771531818500236,-87.2806532616169
71,taltal,cl,-25.771531818500236,-80.14839582020282
72,salta,ar,-25.771531818500236,-65.88388093737466
73,formosa,ar,-25.771531818500236,-58.75162349596057
74,pinhao,br,-25.771531818500236,-51.619366054546475
75,ilhabela,br,-25.771531818500236,-44.48710861313239
76,vila velha,br,-25.771531818500236,-30.222593730304226
77,walvis bay,na,-25.771531818500236,5.43869347676619
78,bokspits,bw,-25.771531818500236,19.703208359594356
79,koster,za,-25.771531818500236,26.83546580100844
80,xai-xai,mz,-25.771531818500236,33.96772324242252
81,toliary,mg,-25.771531818500236,41.099980683836606
82,grand river south east,mu,-25.771531818500236,76.76126789090705
83,port hedland,au,-25.771531818500236,119.55481253939155
84,yulara,au,-25.771531818500236,126.68706998080563
85,alice springs,au,-25.771531818500236,133.81932742221971
86,mount isa,au,-25.771531818500236,140.9515848636338
87,roma,au,-25.771531818500236,148.08384230504788
88,coolum beach,au,-25.771531818500236,155.21609974646196
89,poya,nc,-25.771531818500236,162.34835718787605
90,vao,nc,-25.771531818500236,169.48061462929013
91,neiafu,to,-19.348685000350258,-173.19267382235083
92,alofi,nu,-19.348685000350258,-166.38534764470165
93,tevaitoa,pf,-19.348685000350258,-152.7706952894033
94,tautira,pf,-19.348685000350258,-145.96336911175413
95,hualmay,pe,-19.348685000350258,-91.50475969056073
96,arica,cl,-19.348685000350258,-71.08278115761321
97,padilla,bo,-19.348685000350258,-64.27545497996404
98,ladario,br,-19.348685000350258,-57.468128802314865
99,paranaiba,br,-19.348685000350258,-50.66080262466568
100,lagoa santa,br,-19.348685000350258,-43.853476447016504
101,caravelas,br,-19.348685000350258,-37.04615026936733
102,georgetown,sh,-19.348685000350258,-23.431497914068984
103,namibe,ao,-19.348685000350258,3.797806796527709
104,opuwo,na,-19.348685000350258,10.605132974176882
105,otavi,na,-19.348685000350258,17.412459151826056
106,maun,bw,-19.348685000350258,24.21978532947523
107,mvuma,zw,-19.348685000350258,31.027111507124403
108,quelimane,mz,-19.348685000350258,37.834437684773576
109,miandrivazo,mg,-19.348685000350258,44.64176386242275
110,toamasina,mg,-19.348685000350258,51.44909004007192
111,grand gaube,mu,-19.348685000350258,58.256416217721096
112,hithadhoo,mv,-19.348685000350258,78.67839475066864
113,bengkulu,id,-19.348685000350258,92.29304710596699
114,palabuhanratu,id,-19.348685000350258,99.10037328361614
115,karratha,au,-19.348685000350258,112.71502563891448
116,kununurra,au,-19.348685000350258,126.32967799421283
117,townsville,au,-19.348685000350258,146.75165652716038
118,yeppoon,au,-19.348685000350258,153.55898270480952
119,poum,nc,-19.348685000350258,160.36630888245872
120,fayaoue,nc,-19.348685000350258,167.17363506010787
121,halalo,wf,-12.92583818220028,-180.0
122,falealupo,ws,-12.92583818220028,-173.41016963429792
123,samusu,ws,-12.92583818220028,-166.82033926859586
124,faanui,pf,-12.92583818220028,-153.64067853719172
125,tiarei,pf,-12.92583818220028,-147.05084817148963
126,atuona,pf,-12.92583818220028,-140.46101780578758
127,chicama,pe,-12.92583818220028,-87.74237488017101
128,acobamba,pe,-12.92583818220028,-74.56271414876687
129,tambopata,pe,-12.92583818220028,-67.9728837830648
130,rolim de moura,br,-12.92583818220028,-61.38305341736273
131,diamantino,br,-12.92583818220028,-54.79322305166066
132,parana,br,-12.92583818220028,-48.20339268595859
133,seabra,br,-12.92583818220028,-41.613562320256506
134,conde,br,-12.92583818220028,-35.02373195455445
135,maragogi,br,-12.92583818220028,-28.433901588852393
136,benguela,ao,-12.92583818220028,11.105080605360058
137,chissamba,ao,-12.92583818220028,17.694910971062114
138,kabompo,zm,-12.92583818220028,24.28474133676417
139,serenje,zm,-12.92583818220028,30.874571702466255
140,montepuez,mz,-12.92583818220028,37.46440206816834
141,fomboni,km,-12.92583818220028,44.054232433870396
142,sambava,mg,-12.92583818220028,50.64406279957245
143,cap malheureux,mu,-12.92583818220028,57.23389316527454
144,bambanglipuro,id,-12.92583818220028,109.9525360908911
145,praya,id,-12.92583818220028,116.54236645659319
146,kupang,id,-12.92583818220028,123.13219682229521
147,palmerston,au,-12.92583818220028,129.7220271879973
148,nhulunbuy,au,-12.92583818220028,136.31185755369938
149,daru,pg,-12.92583818220028,142.90168791940147
150,samarai,pg,-12.92583818220028,149.49151828510355
151,gizo,sb,-12.92583818220028,156.08134865080558
152,kirakira,sb,-12.92583818220028,162.67117901650766
153,sola,vu,-12.92583818220028,169.26100938220975
154,vaitupu,wf,-6.5029913640503025,-180.0
155,sataua,ws,-6.5029913640503025,-173.53556061736217
156,san cristobal,ec,-6.5029913640503025,-89.49784864307017
157,paita,pe,-6.5029913640503025,-83.03340926043234
158,lamas,pe,-6.5029913640503025,-76.56896987779449
159,eirunepe,br,-6.5029913640503025,-70.10453049515664
160,canutama,br,-6.5029913640503025,-63.6400911125188
161,jacareacanga,br,-6.5029913640503025,-57.175651729880954
162,sao felix do xingu,br,-6.5029913640503025,-50.711212347243105
